"ID_LouwNida","Dominio_Principal","Exemplo_Grego","Glossario_EN","Glossario_PT_BR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.1","Objetos e Características Geográficas","κόσμος","cosmos, universe","cosmos, universo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.2","Objetos e Características Geográficas","αἰών","universe","universo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.3","Objetos e Características Geográficas","οὐρανός","heaven and earth, universe","céu e terra, universo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4","Objetos e Características Geográficas","κτίσις","universe, creation, what was made","universo, criação, o que foi feito","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5","Objetos e Características Geográficas","οὐρανός","sky","céu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6","Objetos e Características Geográficas","ἀήρ","air","ar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.7","Objetos e Características Geográficas","ἀήρ","air, sky","ar, céu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.8","Objetos e Características Geográficas","ἐπουράνιος","in the sky, celestial","no céu, celestial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.9","Objetos e Características Geográficas","οὐρανόθεν","from the sky","do céu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.1","Objetos e Características Geográficas","μεσουράνημα","high in the sky, midpoint in the sky, directly overhead, straight above in the sky","alto no céu, ponto médio no céu, diretamente acima, bem acima no céu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.11","Objetos e Características Geográficas","οὐρανός","heaven","céu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.12","Objetos e Características Geográficas","οὐράνιος","heavenly, in heaven, pertaining to heaven","celestial, no céu, referente ao céu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.13","Objetos e Características Geográficas","ὕψιστος","high, world above, sky, heaven, on high","alto, mundo de cima, céu, no alto","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.14","Objetos e Características Geográficas","παράδεισος","paradise","paraíso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.15","Objetos e Características Geográficas","δόξα","glory, heaven","glória, céu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.16","Objetos e Características Geográficas","κόλπος","Abraham’s bosom, heaven","coluna de Abraão, céu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.17","Objetos e Características Geográficas","καταχθόνιος","the world below, what is beneath the earth, under the earth","o mundo inferior, o que está abaixo da terra, debaixo da terra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.18","Objetos e Características Geográficas","βάθος","the world below","o mundo inferior","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.19","Objetos e Características Geográficas","ᾅδης","the world of the dead, Hades","o mundo dos mortos, Hades","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.2","Objetos e Características Geográficas","ἄβυσσος","abyss, abode of evil spirits, very deep place","abismo, morada de espíritos malignos, lugar muito profundo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.21","Objetos e Características Geográficas","γέεννα","Gehenna, hell","Geena, inferno","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.22","Objetos e Características Geográficas","λίμνη","lake of fire, hell","lago de fogo, inferno","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.23","Objetos e Características Geográficas","σκότος","outer darkness, darkness outside","escura escuridão exterior","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.24","Objetos e Características Geográficas","ζόφος","gloomy hell, black darkness","inferno sombrio, trevas negras","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.25","Objetos e Características Geográficas","ταρταρόω","to hold in Tartarus, to cast into hell","reter no Tártaro, lançar no inferno","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.26","Objetos e Características Geográficas","σῶμα","heavenly body","corpo celestial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.27","Objetos e Características Geográficas","φωστήρ","light, luminary, star","luz, luminar, estrela","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.28","Objetos e Características Geográficas","ἥλιος","the sun","o sol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.29","Objetos e Características Geográficas","σελήνη","moon","lua","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.3","Objetos e Características Geográficas","ἀστήρ","star, planet","estrela, planeta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.31","Objetos e Características Geográficas","ἄστρον","constellation","constelação","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.32","Objetos e Características Geográficas","φωσφόρος","morning star","estrela da manhã","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.33","Objetos e Características Geográficas","ἀστήρ","morning star, bright star in the morning sky","estrela da manhã, estrela brilhante no céu da manhã","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.34","Objetos e Características Geográficas","νεφέλη","cloud","nuvem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.35","Objetos e Características Geográficas","ὁμίχλη","fog, mist","névoa, neblina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.36","Objetos e Características Geográficas","ἀτμίς","steam","vapor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.37","Objetos e Características Geográficas","καπνός","smoke","fumaça","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
